Container ID,Actual Date,Starting Date,Recollecting Date,Lost,Day Trip,Total Stock
1,2023-01-01,,,0,,1000
1,2023-01-02,,,0,,1000
1,2023-01-03,,,0,,1000
1,2023-01-04,2023-01-04,,0,1.0,1000
1,2023-01-05,2023-01-04,,0,2.0,1000
1,2023-01-06,2023-01-04,,0,3.0,1000
1,2023-01-07,2023-01-04,,0,4.0,1000
1,2023-01-08,2023-01-04,,0,5.0,1000
1,2023-01-09,2023-01-04,,0,6.0,1000
1,2023-01-10,2023-01-04,,0,7.0,1000
1,2023-01-11,2023-01-04,,0,8.0,1000
1,2023-01-12,2023-01-04,,0,9.0,1000
1,2023-01-13,2023-01-04,,0,10.0,1000
1,2023-01-14,2023-01-04,,0,11.0,1000
1,2023-01-15,2023-01-04,,0,12.0,1000
1,2023-01-16,2023-01-04,,0,13.0,1000
1,2023-01-17,2023-01-04,,0,14.0,1000
1,2023-01-18,2023-01-04,,0,15.0,1000
1,2023-01-19,2023-01-04,,0,16.0,1000
1,2023-01-20,2023-01-04,,0,17.0,1000
1,2023-01-21,2023-01-04,,0,18.0,1000
1,2023-01-22,2023-01-04,,0,19.0,1000
1,2023-01-23,2023-01-04,,0,20.0,1000
1,2023-01-24,2023-01-04,,0,21.0,1000
1,2023-01-25,2023-01-04,,0,22.0,1000
1,2023-01-26,2023-01-04,,0,23.0,1000
1,2023-01-27,2023-01-04,,0,24.0,1000
1,2023-01-28,2023-01-04,,0,25.0,1000
1,2023-01-29,2023-01-04,,0,26.0,1000
1,2023-01-30,2023-01-04,,0,27.0,1000
1,2023-01-31,2023-01-04,2023-01-31,0,,1000
1,2023-02-01,,,0,,1000
1,2023-02-02,,,0,,1000
1,2023-02-03,2023-02-03,,0,1.0,1000
1,2023-02-04,2023-02-03,,0,2.0,1000
1,2023-02-05,2023-02-03,,0,3.0,1000
1,2023-02-06,2023-02-03,,0,4.0,1000
1,2023-02-07,2023-02-03,,0,5.0,1000
1,2023-02-08,2023-02-03,,0,6.0,1000
1,2023-02-09,2023-02-03,,0,7.0,1000
1,2023-02-10,2023-02-03,,0,8.0,1000
1,2023-02-11,2023-02-03,,0,9.0,984
1,2023-02-12,2023-02-03,,0,10.0,963
1,2023-02-13,2023-02-03,,0,11.0,954
1,2023-02-14,2023-02-03,,0,12.0,945
1,2023-02-15,2023-02-03,,0,13.0,941
1,2023-02-16,2023-02-03,,0,14.0,934
1,2023-02-17,2023-02-03,,0,15.0,934
1,2023-02-18,2023-02-03,2023-02-18,0,,934
1,2023-02-19,,,0,,931
1,2023-02-20,,,0,,929
1,2023-02-21,,,0,,929
1,2023-02-22,,,0,,927
1,2023-02-23,,,0,,927
1,2023-02-24,2023-02-24,,0,1.0,927
1,2023-02-25,2023-02-24,,0,2.0,927
1,2023-02-26,2023-02-24,,0,3.0,927
1,2023-02-27,2023-02-24,,0,4.0,926
1,2023-02-28,2023-02-24,,0,5.0,926
1,2023-03-01,2023-02-24,,0,6.0,926
1,2023-03-02,2023-02-24,,0,7.0,925
1,2023-03-03,2023-02-24,,0,8.0,924
1,2023-03-04,2023-02-24,,0,9.0,918
1,2023-03-05,2023-02-24,,0,10.0,915
1,2023-03-06,2023-02-24,,0,11.0,913
1,2023-03-07,2023-02-24,,0,12.0,909
1,2023-03-08,2023-02-24,,0,13.0,905
1,2023-03-09,2023-02-24,,0,14.0,904
1,2023-03-10,2023-02-24,,0,15.0,900
1,2023-03-11,2023-02-24,,0,16.0,897
1,2023-03-12,2023-02-24,,0,17.0,895
1,2023-03-13,2023-02-24,,0,18.0,892
1,2023-03-14,2023-02-24,,0,19.0,889
1,2023-03-15,2023-02-24,,0,20.0,889
1,2023-03-16,2023-02-24,,0,21.0,888
1,2023-03-17,2023-02-24,2023-03-17,0,,886
1,2023-03-18,,,0,,884
1,2023-03-19,,,0,,883
1,2023-03-20,2023-03-20,,0,1.0,881
1,2023-03-21,2023-03-20,,0,2.0,875
1,2023-03-22,2023-03-20,,0,3.0,871
1,2023-03-23,2023-03-20,,0,4.0,870
1,2023-03-24,2023-03-20,,0,5.0,869
1,2023-03-25,2023-03-20,,0,6.0,867
1,2023-03-26,2023-03-20,,0,7.0,863
1,2023-03-27,2023-03-20,,0,8.0,860
1,2023-03-28,2023-03-20,,0,9.0,859
1,2023-03-29,2023-03-20,,0,10.0,854
1,2023-03-30,2023-03-20,,0,11.0,853
1,2023-03-31,2023-03-20,,0,12.0,851
1,2023-04-01,2023-03-20,,0,13.0,850
1,2023-04-02,2023-03-20,,0,14.0,847
1,2023-04-03,2023-03-20,,0,15.0,846
1,2023-04-04,2023-03-20,,0,16.0,844
1,2023-04-05,2023-03-20,,0,17.0,843
1,2023-04-06,2023-03-20,,0,18.0,837
1,2023-04-07,2023-03-20,,0,19.0,835
1,2023-04-08,2023-03-20,,0,20.0,834
1,2023-04-09,2023-03-20,2023-04-09,0,,830
1,2023-04-10,,,0,,828
2,2023-01-01,,,0,,1000
2,2023-01-02,,,0,,1000
2,2023-01-03,,,0,,1000
2,2023-01-04,,,0,,1000
2,2023-01-05,,,0,,1000
2,2023-01-06,,,0,,1000
2,2023-01-07,,,0,,1000
2,2023-01-08,,,0,,1000
2,2023-01-09,,,0,,1000
2,2023-01-10,,,0,,1000
2,2023-01-11,2023-01-11,,0,1.0,1000
2,2023-01-12,2023-01-11,,0,2.0,1000
2,2023-01-13,2023-01-11,,0,3.0,1000
2,2023-01-14,2023-01-11,,0,4.0,1000
2,2023-01-15,2023-01-11,,0,5.0,1000
2,2023-01-16,2023-01-11,,0,6.0,1000
2,2023-01-17,2023-01-11,,0,7.0,1000
2,2023-01-18,2023-01-11,,0,8.0,1000
2,2023-01-19,2023-01-11,,0,9.0,1000
2,2023-01-20,2023-01-11,,0,10.0,1000
2,2023-01-21,2023-01-11,,0,11.0,1000
2,2023-01-22,2023-01-11,,0,12.0,1000
2,2023-01-23,2023-01-11,,0,13.0,1000
2,2023-01-24,2023-01-11,,0,14.0,1000
2,2023-01-25,2023-01-11,,0,15.0,1000
2,2023-01-26,2023-01-11,,0,16.0,1000
2,2023-01-27,2023-01-11,,0,17.0,1000
2,2023-01-28,2023-01-11,,0,18.0,1000
2,2023-01-29,2023-01-11,,0,19.0,1000
2,2023-01-30,2023-01-11,2023-01-30,0,,1000
2,2023-01-31,,,0,,1000
2,2023-02-01,2023-02-01,,0,1.0,1000
2,2023-02-02,2023-02-01,,0,2.0,1000
2,2023-02-03,2023-02-01,,0,3.0,1000
2,2023-02-04,2023-02-01,,0,4.0,1000
2,2023-02-05,2023-02-01,,0,5.0,1000
2,2023-02-06,2023-02-01,,0,6.0,1000
2,2023-02-07,2023-02-01,,0,7.0,1000
2,2023-02-08,2023-02-01,,0,8.0,1000
2,2023-02-09,2023-02-01,,0,9.0,1000
2,2023-02-10,2023-02-01,,0,10.0,1000
2,2023-02-11,2023-02-01,,0,11.0,984
2,2023-02-12,2023-02-01,,0,12.0,963
2,2023-02-13,2023-02-01,,0,13.0,954
2,2023-02-14,2023-02-01,,0,14.0,945
2,2023-02-15,2023-02-01,,0,15.0,941
2,2023-02-16,2023-02-01,2023-02-16,0,,934
2,2023-02-17,2023-02-17,,0,1.0,934
2,2023-02-18,2023-02-17,,0,2.0,934
2,2023-02-19,2023-02-17,,0,3.0,931
2,2023-02-20,2023-02-17,,0,4.0,929
2,2023-02-21,2023-02-17,,0,5.0,929
2,2023-02-22,2023-02-17,,0,6.0,927
2,2023-02-23,2023-02-17,,0,7.0,927
2,2023-02-24,2023-02-17,,0,8.0,927
2,2023-02-25,2023-02-17,,0,9.0,927
2,2023-02-26,2023-02-17,,0,10.0,927
2,2023-02-27,2023-02-17,,0,11.0,926
2,2023-02-28,2023-02-17,,0,12.0,926
2,2023-03-01,2023-02-17,,0,13.0,926
2,2023-03-02,2023-02-17,,0,14.0,925
2,2023-03-03,2023-02-17,,0,15.0,924
2,2023-03-04,2023-02-17,,0,16.0,918
2,2023-03-05,2023-02-17,,0,17.0,915
2,2023-03-06,2023-02-17,,0,18.0,913
2,2023-03-07,2023-02-17,2023-03-07,0,,909
2,2023-03-08,2023-03-08,,0,1.0,905
2,2023-03-09,2023-03-08,,0,2.0,904
2,2023-03-10,2023-03-08,,0,3.0,900
2,2023-03-11,2023-03-08,,0,4.0,897
2,2023-03-12,2023-03-08,,0,5.0,895
2,2023-03-13,2023-03-08,,0,6.0,892
2,2023-03-14,2023-03-08,,0,7.0,889
2,2023-03-15,2023-03-08,,0,8.0,889
2,2023-03-16,2023-03-08,,0,9.0,888
2,2023-03-17,2023-03-08,,0,10.0,886
2,2023-03-18,2023-03-08,,0,11.0,884
2,2023-03-19,2023-03-08,,0,12.0,883
2,2023-03-20,2023-03-08,,0,13.0,881
2,2023-03-21,2023-03-08,,0,14.0,875
2,2023-03-22,2023-03-08,,0,15.0,871
2,2023-03-23,2023-03-08,,0,16.0,870
2,2023-03-24,2023-03-08,2023-03-24,0,,869
2,2023-03-25,2023-03-25,,0,1.0,867
2,2023-03-26,2023-03-25,,0,2.0,863
2,2023-03-27,2023-03-25,,0,3.0,860
2,2023-03-28,2023-03-25,,0,4.0,859
2,2023-03-29,2023-03-25,,0,5.0,854
2,2023-03-30,2023-03-25,,0,6.0,853
2,2023-03-31,2023-03-25,,0,7.0,851
2,2023-04-01,2023-03-25,,0,8.0,850
2,2023-04-02,2023-03-25,,0,9.0,847
2,2023-04-03,2023-03-25,,0,10.0,846
2,2023-04-04,2023-03-25,,0,11.0,844
2,2023-04-05,2023-03-25,,0,12.0,843
2,2023-04-06,2023-03-25,,0,13.0,837
2,2023-04-07,2023-03-25,,0,14.0,835
2,2023-04-08,2023-03-25,,0,15.0,834
2,2023-04-09,2023-03-25,,0,16.0,830
2,2023-04-10,2023-03-25,,0,17.0,828
3,2023-01-01,,,0,,1000
3,2023-01-02,,,0,,1000
3,2023-01-03,2023-01-03,,0,1.0,1000
3,2023-01-04,2023-01-03,,0,2.0,1000
3,2023-01-05,2023-01-03,,0,3.0,1000
3,2023-01-06,2023-01-03,,0,4.0,1000
3,2023-01-07,2023-01-03,,0,5.0,1000
3,2023-01-08,2023-01-03,,0,6.0,1000
3,2023-01-09,2023-01-03,,0,7.0,1000
3,2023-01-10,2023-01-03,,0,8.0,1000
3,2023-01-11,2023-01-03,,0,9.0,1000
3,2023-01-12,2023-01-03,,0,10.0,1000
3,2023-01-13,2023-01-03,,0,11.0,1000
3,2023-01-14,2023-01-03,,0,12.0,1000
3,2023-01-15,2023-01-03,,0,13.0,1000
3,2023-01-16,2023-01-03,,0,14.0,1000
3,2023-01-17,2023-01-03,,0,15.0,1000
3,2023-01-18,2023-01-03,,0,16.0,1000
3,2023-01-19,2023-01-03,,0,17.0,1000
3,2023-01-20,2023-01-03,2023-01-20,0,,1000
3,2023-01-21,2023-01-21,,0,1.0,1000
3,2023-01-22,2023-01-21,,0,2.0,1000
3,2023-01-23,2023-01-21,,0,3.0,1000
3,2023-01-24,2023-01-21,,0,4.0,1000
3,2023-01-25,2023-01-21,,0,5.0,1000
3,2023-01-26,2023-01-21,,0,6.0,1000
3,2023-01-27,2023-01-21,,0,7.0,1000
3,2023-01-28,2023-01-21,,0,8.0,1000
3,2023-01-29,2023-01-21,,0,9.0,1000
3,2023-01-30,2023-01-21,,0,10.0,1000
3,2023-01-31,2023-01-21,,0,11.0,1000
3,2023-02-01,2023-01-21,,0,12.0,1000
3,2023-02-02,2023-01-21,,0,13.0,1000
3,2023-02-03,2023-01-21,,0,14.0,1000
3,2023-02-04,2023-01-21,,0,15.0,1000
3,2023-02-05,2023-01-21,,0,16.0,1000
3,2023-02-06,2023-01-21,,0,17.0,1000
3,2023-02-07,2023-01-21,2023-02-07,0,,1000
3,2023-02-08,2023-02-08,,0,1.0,1000
3,2023-02-09,2023-02-08,,0,2.0,1000
3,2023-02-10,2023-02-08,,0,3.0,1000
3,2023-02-11,2023-02-08,,0,4.0,984
3,2023-02-12,2023-02-08,,0,5.0,963
3,2023-02-13,2023-02-08,,0,6.0,954
3,2023-02-14,2023-02-08,,0,7.0,945
3,2023-02-15,2023-02-08,,0,8.0,941
3,2023-02-16,2023-02-08,,0,9.0,934
3,2023-02-17,2023-02-08,,0,10.0,934
3,2023-02-18,2023-02-08,,0,11.0,934
3,2023-02-19,2023-02-08,,0,12.0,931
3,2023-02-20,2023-02-08,,0,13.0,929
3,2023-02-21,2023-02-08,,0,14.0,929
3,2023-02-22,2023-02-08,,0,15.0,927
3,2023-02-23,2023-02-08,,0,16.0,927
3,2023-02-24,2023-02-08,,0,17.0,927
3,2023-02-25,2023-02-08,,0,18.0,927
3,2023-02-26,2023-02-08,,0,19.0,927
3,2023-02-27,2023-02-08,,0,20.0,926
3,2023-02-28,2023-02-08,,0,21.0,926
3,2023-03-01,2023-02-08,,0,22.0,926
3,2023-03-02,2023-02-08,,0,23.0,925
3,2023-03-03,2023-02-08,,0,24.0,924
3,2023-03-04,2023-02-08,2023-03-04,0,,918
3,2023-03-05,2023-03-05,,0,1.0,915
3,2023-03-06,2023-03-05,,0,2.0,913
3,2023-03-07,2023-03-05,,0,3.0,909
3,2023-03-08,2023-03-05,,0,4.0,905
3,2023-03-09,2023-03-05,,0,5.0,904
3,2023-03-10,2023-03-05,,0,6.0,900
3,2023-03-11,2023-03-05,,0,7.0,897
3,2023-03-12,2023-03-05,,0,8.0,895
3,2023-03-13,2023-03-05,,0,9.0,892
3,2023-03-14,2023-03-05,,0,10.0,889
3,2023-03-15,2023-03-05,,0,11.0,889
3,2023-03-16,2023-03-05,,0,12.0,888
3,2023-03-17,2023-03-05,,0,13.0,886
3,2023-03-18,2023-03-05,,0,14.0,884
3,2023-03-19,2023-03-05,,0,15.0,883
3,2023-03-20,2023-03-05,,0,16.0,881
3,2023-03-21,2023-03-05,,0,17.0,875
3,2023-03-22,2023-03-05,,0,18.0,871
3,2023-03-23,2023-03-05,,0,19.0,870
3,2023-03-24,2023-03-05,,0,20.0,869
3,2023-03-25,2023-03-05,,0,21.0,867
3,2023-03-26,2023-03-05,,0,22.0,863
3,2023-03-27,2023-03-05,,0,23.0,860
3,2023-03-28,2023-03-05,,0,24.0,859
3,2023-03-29,2023-03-05,,0,25.0,854
3,2023-03-30,2023-03-05,2023-03-30,0,,853
3,2023-03-31,,,0,,851
3,2023-04-01,,,0,,850
3,2023-04-02,,,0,,847
3,2023-04-03,,,0,,846
3,2023-04-04,2023-04-04,,0,1.0,844
3,2023-04-05,2023-04-04,,0,2.0,843
3,2023-04-06,2023-04-04,,0,3.0,837
3,2023-04-07,2023-04-04,,0,4.0,835
3,2023-04-08,2023-04-04,,0,5.0,834
3,2023-04-09,2023-04-04,,0,6.0,830
3,2023-04-10,2023-04-04,,0,7.0,828
4,2023-01-01,,,0,,1000
4,2023-01-02,,,0,,1000
4,2023-01-03,,,0,,1000
4,2023-01-04,,,0,,1000
4,2023-01-05,,,0,,1000
4,2023-01-06,,,0,,1000
4,2023-01-07,2023-01-07,,0,1.0,1000
4,2023-01-08,2023-01-07,,0,2.0,1000
4,2023-01-09,2023-01-07,,0,3.0,1000
4,2023-01-10,2023-01-07,,0,4.0,1000
4,2023-01-11,2023-01-07,,0,5.0,1000
4,2023-01-12,2023-01-07,,0,6.0,1000
4,2023-01-13,2023-01-07,,0,7.0,1000
4,2023-01-14,2023-01-07,,0,8.0,1000
4,2023-01-15,2023-01-07,,0,9.0,1000
4,2023-01-16,2023-01-07,,0,10.0,1000
4,2023-01-17,2023-01-07,,0,11.0,1000
4,2023-01-18,2023-01-07,,0,12.0,1000
4,2023-01-19,2023-01-07,,0,13.0,1000
4,2023-01-20,2023-01-07,,0,14.0,1000
4,2023-01-21,2023-01-07,,0,15.0,1000
4,2023-01-22,2023-01-07,,0,16.0,1000
4,2023-01-23,2023-01-07,,0,17.0,1000
4,2023-01-24,2023-01-07,,0,18.0,1000
4,2023-01-25,2023-01-07,,0,19.0,1000
4,2023-01-26,2023-01-07,,0,20.0,1000
4,2023-01-27,2023-01-07,,0,21.0,1000
4,2023-01-28,2023-01-07,,0,22.0,1000
4,2023-01-29,2023-01-07,,0,23.0,1000
4,2023-01-30,2023-01-07,,0,24.0,1000
4,2023-01-31,2023-01-07,,0,25.0,1000
4,2023-02-01,2023-01-07,,0,26.0,1000
4,2023-02-02,2023-01-07,,0,27.0,1000
4,2023-02-03,2023-01-07,,0,28.0,1000
4,2023-02-04,2023-01-07,,0,29.0,1000
4,2023-02-05,2023-01-07,,0,30.0,1000
4,2023-02-06,2023-01-07,,0,31.0,1000
4,2023-02-07,2023-01-07,2023-02-07,0,,1000
4,2023-02-08,2023-02-08,,0,1.0,1000
4,2023-02-09,2023-02-08,,0,2.0,1000
4,2023-02-10,2023-02-08,,0,3.0,1000
4,2023-02-11,2023-02-08,,0,4.0,984
4,2023-02-12,2023-02-08,,0,5.0,963
4,2023-02-13,2023-02-08,,0,6.0,954
4,2023-02-14,2023-02-08,,0,7.0,945
4,2023-02-15,2023-02-08,,0,8.0,941
4,2023-02-16,2023-02-08,,0,9.0,934
4,2023-02-17,2023-02-08,,0,10.0,934
4,2023-02-18,2023-02-08,,0,11.0,934
4,2023-02-19,2023-02-08,,0,12.0,931
4,2023-02-20,2023-02-08,,0,13.0,929
4,2023-02-21,2023-02-08,,0,14.0,929
4,2023-02-22,2023-02-08,,0,15.0,927
4,2023-02-23,2023-02-08,,0,16.0,927
4,2023-02-24,2023-02-08,,0,17.0,927
4,2023-02-25,2023-02-08,,0,18.0,927
4,2023-02-26,2023-02-08,,0,19.0,927
4,2023-02-27,2023-02-08,,0,20.0,926
4,2023-02-28,2023-02-08,,0,21.0,926
4,2023-03-01,2023-02-08,,0,22.0,926
4,2023-03-02,2023-02-08,,0,23.0,925
4,2023-03-03,2023-02-08,,0,24.0,924
4,2023-03-04,2023-02-08,,0,25.0,918
4,2023-03-05,2023-02-08,,0,26.0,915
4,2023-03-06,2023-02-08,,0,27.0,913
4,2023-03-07,2023-02-08,,0,28.0,909
4,2023-03-08,2023-02-08,,0,29.0,905
4,2023-03-09,2023-02-08,,0,30.0,904
4,2023-03-10,2023-02-08,,0,31.0,900
4,2023-03-11,2023-02-08,,0,32.0,897
4,2023-03-12,2023-02-08,,0,33.0,895
4,2023-03-13,2023-02-08,,0,34.0,892
4,2023-03-14,2023-02-08,,0,35.0,889
4,2023-03-15,2023-02-08,,0,36.0,889
4,2023-03-16,2023-02-08,2023-03-16,0,,888
4,2023-03-17,,,0,,886
4,2023-03-18,,,0,,884
4,2023-03-19,2023-03-19,,0,1.0,883
4,2023-03-20,2023-03-19,,0,2.0,881
4,2023-03-21,2023-03-19,,0,3.0,875
4,2023-03-22,2023-03-19,,0,4.0,871
4,2023-03-23,2023-03-19,,0,5.0,870
4,2023-03-24,2023-03-19,,0,6.0,869
4,2023-03-25,2023-03-19,,0,7.0,867
4,2023-03-26,2023-03-19,,0,8.0,863
4,2023-03-27,2023-03-19,,0,9.0,860
4,2023-03-28,2023-03-19,,0,10.0,859
4,2023-03-29,2023-03-19,,0,11.0,854
4,2023-03-30,2023-03-19,,0,12.0,853
4,2023-03-31,2023-03-19,,0,13.0,851
4,2023-04-01,2023-03-19,,0,14.0,850
4,2023-04-02,2023-03-19,,0,15.0,847
4,2023-04-03,2023-03-19,,0,16.0,846
4,2023-04-04,2023-03-19,,0,17.0,844
4,2023-04-05,2023-03-19,,0,18.0,843
4,2023-04-06,2023-03-19,,0,19.0,837
4,2023-04-07,2023-03-19,,0,20.0,835
4,2023-04-08,2023-03-19,,0,21.0,834
4,2023-04-09,2023-03-19,,0,22.0,830
4,2023-04-10,2023-03-19,,0,23.0,828
5,2023-01-01,,,0,,1000
5,2023-01-02,,,0,,1000
5,2023-01-03,,,0,,1000
5,2023-01-04,2023-01-04,,0,1.0,1000
5,2023-01-05,2023-01-04,,0,2.0,1000
5,2023-01-06,2023-01-04,,0,3.0,1000
5,2023-01-07,2023-01-04,,0,4.0,1000
5,2023-01-08,2023-01-04,,0,5.0,1000
5,2023-01-09,2023-01-04,,0,6.0,1000
5,2023-01-10,2023-01-04,,0,7.0,1000
5,2023-01-11,2023-01-04,,0,8.0,1000
5,2023-01-12,2023-01-04,,0,9.0,1000
5,2023-01-13,2023-01-04,,0,10.0,1000
5,2023-01-14,2023-01-04,,0,11.0,1000
5,2023-01-15,2023-01-04,,0,12.0,1000
5,2023-01-16,2023-01-04,,0,13.0,1000
5,2023-01-17,2023-01-04,,0,14.0,1000
5,2023-01-18,2023-01-04,,0,15.0,1000
5,2023-01-19,2023-01-04,,0,16.0,1000
5,2023-01-20,2023-01-04,,0,17.0,1000
5,2023-01-21,2023-01-04,2023-01-21,0,,1000
5,2023-01-22,,,0,,1000
5,2023-01-23,,,0,,1000
5,2023-01-24,,,0,,1000
5,2023-01-25,2023-01-25,,0,1.0,1000
5,2023-01-26,2023-01-25,,0,2.0,1000
5,2023-01-27,2023-01-25,,0,3.0,1000
5,2023-01-28,2023-01-25,,0,4.0,1000
5,2023-01-29,2023-01-25,,0,5.0,1000
5,2023-01-30,2023-01-25,,0,6.0,1000
5,2023-01-31,2023-01-25,,0,7.0,1000
5,2023-02-01,2023-01-25,,0,8.0,1000
5,2023-02-02,2023-01-25,,0,9.0,1000
5,2023-02-03,2023-01-25,,0,10.0,1000
5,2023-02-04,2023-01-25,,0,11.0,1000
5,2023-02-05,2023-01-25,,0,12.0,1000
5,2023-02-06,2023-01-25,,0,13.0,1000
5,2023-02-07,2023-01-25,,0,14.0,1000
5,2023-02-08,2023-01-25,,0,15.0,1000
5,2023-02-09,2023-01-25,,0,16.0,1000
5,2023-02-10,2023-01-25,,0,17.0,1000
5,2023-02-11,2023-01-25,,0,18.0,984
5,2023-02-12,2023-01-25,,0,19.0,963
5,2023-02-13,2023-01-25,,0,20.0,954
5,2023-02-14,2023-01-25,,0,21.0,945
5,2023-02-15,2023-01-25,,0,22.0,941
5,2023-02-16,2023-01-25,,0,23.0,934
5,2023-02-17,2023-01-25,,0,24.0,934
5,2023-02-18,2023-01-25,,0,25.0,934
5,2023-02-19,2023-01-25,,0,26.0,931
5,2023-02-20,2023-01-25,,0,27.0,929
5,2023-02-21,2023-01-25,,0,28.0,929
5,2023-02-22,2023-01-25,2023-02-22,0,,927
5,2023-02-23,2023-02-23,,0,1.0,927
5,2023-02-24,2023-02-23,,0,2.0,927
5,2023-02-25,2023-02-23,,0,3.0,927
5,2023-02-26,2023-02-23,,0,4.0,927
5,2023-02-27,2023-02-23,,0,5.0,926
5,2023-02-28,2023-02-23,,0,6.0,926
5,2023-03-01,2023-02-23,,0,7.0,926
5,2023-03-02,2023-02-23,,0,8.0,925
5,2023-03-03,2023-02-23,,0,9.0,924
5,2023-03-04,2023-02-23,,0,10.0,918
5,2023-03-05,2023-02-23,,0,11.0,915
5,2023-03-06,2023-02-23,,0,12.0,913
5,2023-03-07,2023-02-23,,0,13.0,909
5,2023-03-08,2023-02-23,,0,14.0,905
5,2023-03-09,2023-02-23,,0,15.0,904
5,2023-03-10,2023-02-23,,0,16.0,900
5,2023-03-11,2023-02-23,,0,17.0,897
5,2023-03-12,2023-02-23,,0,18.0,895
5,2023-03-13,2023-02-23,,0,19.0,892
5,2023-03-14,2023-02-23,,0,20.0,889
5,2023-03-15,2023-02-23,,0,21.0,889
5,2023-03-16,2023-02-23,,0,22.0,888
5,2023-03-17,2023-02-23,,0,23.0,886
5,2023-03-18,2023-02-23,,0,24.0,884
5,2023-03-19,2023-02-23,,0,25.0,883
5,2023-03-20,2023-02-23,,0,26.0,881
5,2023-03-21,2023-02-23,,0,27.0,875
5,2023-03-22,2023-02-23,,0,28.0,871
5,2023-03-23,2023-02-23,,0,29.0,870
5,2023-03-24,2023-02-23,,0,30.0,869
5,2023-03-25,2023-02-23,,0,31.0,867
5,2023-03-26,2023-02-23,,0,32.0,863
5,2023-03-27,2023-02-23,2023-03-27,0,,860
5,2023-03-28,,,0,,859
5,2023-03-29,,,0,,854
5,2023-03-30,,,0,,853
5,2023-03-31,2023-03-31,,0,1.0,851
5,2023-04-01,2023-03-31,,0,2.0,850
5,2023-04-02,2023-03-31,,0,3.0,847
5,2023-04-03,2023-03-31,,0,4.0,846
5,2023-04-04,2023-03-31,,0,5.0,844
5,2023-04-05,2023-03-31,,0,6.0,843
5,2023-04-06,2023-03-31,,0,7.0,837
5,2023-04-07,2023-03-31,,0,8.0,835
5,2023-04-08,2023-03-31,,0,9.0,834
5,2023-04-09,2023-03-31,,0,10.0,830
5,2023-04-10,2023-03-31,,0,11.0,828
6,2023-01-01,,,0,,1000
6,2023-01-02,2023-01-02,,0,1.0,1000
6,2023-01-03,2023-01-02,,0,2.0,1000
6,2023-01-04,2023-01-02,,0,3.0,1000
6,2023-01-05,2023-01-02,,0,4.0,1000
6,2023-01-06,2023-01-02,,0,5.0,1000
6,2023-01-07,2023-01-02,,0,6.0,1000
6,2023-01-08,2023-01-02,,0,7.0,1000
6,2023-01-09,2023-01-02,,0,8.0,1000
6,2023-01-10,2023-01-02,,0,9.0,1000
6,2023-01-11,2023-01-02,,0,10.0,1000
6,2023-01-12,2023-01-02,,0,11.0,1000
6,2023-01-13,2023-01-02,,0,12.0,1000
6,2023-01-14,2023-01-02,,0,13.0,1000
6,2023-01-15,2023-01-02,,0,14.0,1000
6,2023-01-16,2023-01-02,,0,15.0,1000
6,2023-01-17,2023-01-02,,0,16.0,1000
6,2023-01-18,2023-01-02,,0,17.0,1000
6,2023-01-19,2023-01-02,,0,18.0,1000
6,2023-01-20,2023-01-02,,0,19.0,1000
